reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
2,79,2021-06-13,8,2,4.0,2.0,0.0,157,25
1,29,2021-07-01,2,0,2.0,0.0,0.0,33,0
3,90,2021-01-19,0,0,,,,8,1
94,90,2021-07-17,3,0,0.0,3.0,0.0,83,43
2,39,2021-01-15,0,0,,,,25,3
75,79,2021-03-07,283,61,,,,2335,550
76,69,2021-01-11,192,59,,,,1843,208
11,9,2021-04-15,10,2,7.0,1.0,0.0,832,3
53,49,2021-07-18,13,2,6.0,2.0,3.0,639,9
27,90,2021-07-21,46,0,22.0,24.0,0.0,2259,1141
4,59,2021-01-13,8,2,,,,123,3
4,0,2020-12-25,42,6,,,,708,51
76,9,2020-12-28,1,0,,,,90,0
3,79,2021-04-12,2,1,1.0,0.0,0.0,149,23
75,9,2021-05-18,3,0,3.0,0.0,0.0,101,0
3,59,2020-12-28,4,3,,,,197,11
27,9,2020-12-26,0,0,,,,51,0
2,39,2020-12-05,2,1,,,,22,3
94,9,2021-07-05,0,0,0.0,0.0,0.0,11,0
4,79,2021-03-11,20,8,,,,139,25
1,9,2021-07-31,1,0,1.0,0.0,0.0,31,0
27,79,2021-08-01,42,6,21.0,15.0,0.0,4434,1072
75,9,2020-03-19,0,0,,,,0,0
1,49,2021-01-27,2,0,,,,101,7
52,79,2021-01-02,187,24,,,,1188,253
52,69,2021-05-23,104,35,48.0,21.0,0.0,1957,228
27,89,2021-04-08,382,15,234.0,132.0,1.0,4200,1790
28,89,2021-04-09,423,11,228.0,184.0,0.0,2711,1077
52,29,2021-06-27,3,0,3.0,0.0,0.0,381,0
94,90,2021-01-28,14,0,,,,31,21
94,39,2021-03-17,1,0,1.0,0.0,0.0,42,1
44,9,2021-03-24,3,1,2.0,0.0,0.0,225,1
94,49,2021-01-20,1,0,,,,43,2
1,19,2021-05-15,0,0,0.0,0.0,0.0,13,0
53,9,2021-07-19,0,0,0.0,0.0,0.0,70,0
11,9,2021-07-04,5,2,3.0,0.0,0.0,980,3
27,59,2021-01-09,105,24,,,,1063,59
28,19,2021-08-04,2,0,2.0,0.0,0.0,101,0
11,90,2021-03-25,686,9,373.0,304.0,0.0,6295,3332
11,59,2021-02-06,516,126,,,,9261,785
24,39,2021-07-29,4,2,1.0,1.0,0.0,536,3
27,59,2020-12-27,95,20,,,,983,49
84,59,2021-08-02,98,25,50.0,19.0,4.0,6418,296
94,79,2021-05-27,10,2,0.0,6.0,2.0,205,49
28,90,2021-07-12,57,0,25.0,32.0,0.0,1512,764
2,89,2021-04-26,15,1,14.0,0.0,0.0,67,24
44,79,2021-04-21,667,167,371.0,120.0,9.0,7031,2189
4,0,2021-05-21,168,35,96.0,37.0,0.0,1661,190
6,59,2021-06-05,2,0,2.0,0.0,0.0,207,16
75,0,2021-06-20,518,69,250.0,194.0,5.0,17024,3847
24,0,2021-06-07,476,85,142.0,241.0,8.0,12126,2744
76,29,2021-01-28,7,0,,,,354,2
75,69,2021-05-11,220,90,84.0,44.0,2.0,2615,290
1,90,2021-03-20,2,0,2.0,0.0,0.0,24,10
27,19,2021-04-19,2,2,0.0,0.0,0.0,169,0
76,39,2021-06-15,10,2,6.0,1.0,1.0,965,6
24,90,2021-03-08,153,0,,,,962,571
52,29,2021-04-12,11,0,11.0,0.0,0.0,308,0
53,69,2021-07-02,53,8,22.0,17.0,6.0,1275,152
6,19,2021-04-07,0,0,0.0,0.0,0.0,51,1
4,79,2021-05-10,33,12,16.0,5.0,0.0,222,48
28,69,2021-07-25,86,15,28.0,43.0,0.0,2728,415
28,29,2021-06-13,8,0,8.0,0.0,0.0,316,2
94,29,2021-05-26,0,0,0.0,0.0,0.0,22,0
11,89,2021-01-22,1468,53,,,,10377,4424
84,49,2021-04-26,177,53,112.0,8.0,4.0,3033,64
52,59,2021-02-25,41,14,,,,876,44
28,19,2021-06-24,5,0,5.0,0.0,0.0,87,0
28,29,2021-01-05,9,2,,,,147,0
11,79,2021-03-14,1366,337,634.0,381.0,14.0,12671,3618
44,59,2021-03-18,222,69,128.0,25.0,0.0,3544,245
27,0,2021-02-25,1426,147,,,,13978,3736
28,79,2021-03-04,278,44,,,,1902,491
75,90,2021-05-14,164,2,103.0,59.0,0.0,1845,997
4,69,2021-03-07,32,12,,,,197,18
93,0,2021-05-24,1836,320,635.0,860.0,21.0,38880,7869
52,69,2021-02-24,104,30,,,,1278,168
76,89,2021-05-02,419,19,225.0,171.0,4.0,4192,1695
28,39,2021-05-29,24,3,17.0,4.0,0.0,518,10
28,9,2020-12-31,2,0,,,,36,0
11,29,2021-05-09,116,27,69.0,8.0,12.0,3358,35
53,39,2021-05-17,11,1,8.0,1.0,1.0,367,3
4,19,2020-12-25,2,0,,,,24,1
52,89,2021-03-07,284,7,,,,2414,878
